"Accepted Symbol","Synonym Symbol","Scientific Name","Genus","Family","Family Common Name","Order","Class","Division","Kingdom"
"HESPE10","","Hesperevax","Hesperevax","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HESPE2","","Hesperis","Hesperis","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"HESPE3","","Hesperocallis","Hesperocallis","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HESPE4","","Hesperochiron","Hesperochiron","Hydrophyllaceae","Waterleaf family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"HESPE6","","Hesperocnide","Hesperocnide","Urticaceae","Nettle family","Urticales","Magnoliopsida","Magnoliophyta","Plantae"
"HESPE5","","Hesperocyparis","Hesperocyparis","Cupressaceae","Cypress family","Pinales","Pinopsida","Coniferophyta","Plantae"
"HESPE9","","Hesperodoria","Hesperodoria","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HESPE7","","Hesperolinon","Hesperolinon","Linaceae","Flax family","Linales","Magnoliopsida","Magnoliophyta","Plantae"
"HESPE8","","Hesperomannia","Hesperomannia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HESPE11","","Hesperostipa","Hesperostipa","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"HESPE12","","Hesperoyucca","Hesperoyucca","Agavaceae","Century-plant family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HETER20","","Heteranthelium","Heteranthelium","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"HETER18","","Heteranthemis","Heteranthemis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER","","Heteranthera","Heteranthera","Pontederiaceae","Water-Hyacinth family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HETER14","","Heterocarpon","Heterocarpon","Verrucariaceae","","Verrucariales","Ascomycetes","Ascomycota","Fungi"
"HETER11","","Heterocentron","Heterocentron","Melastomataceae","Melastome family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER13","","Heterocladium","Heterocladium","Pterigynandraceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"HETER2","","Heterocodon","Heterocodon","Campanulaceae","Bellflower family","Campanulales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER15","","Heterocyphelium","Heterocyphelium","Uncertain Ascomycota Family","","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"HETER16","","Heterodermia","Heterodermia","Physciaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"HETER3","","Heterodraba","Heterodraba","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER22","","Heterogonium","Heterogonium","Dryopteridaceae","Wood Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"HETER5","","Heteromeles","Heteromeles","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER21","","Heteropappus","Heteropappus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER17","","Heterophyllium","Heterophyllium","Sematophyllaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"HETER6","","Heteropogon","Heteropogon","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"HETER23","","Heteropteris","Heteropteris","Malpighiaceae","Barbados Cherry family","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER19","","Heteropterys","Heteropterys","Malpighiaceae","Barbados Cherry family","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER24","","Heterospathe","Heterospathe","Arecaceae","Palm family","Arecales","Liliopsida","Magnoliophyta","Plantae"
"HETER7","","Heterosperma","Heterosperma","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HETER8","","Heterotheca","Heterotheca","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HEUCH","","Heuchera","Heuchera","Saxifragaceae","Saxifrage family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"HEVEA","","Hevea","Hevea","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"HEXAL","","Hexalectris","Hexalectris","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"HEXAS","","Hexastylis","Hexastylis","Aristolochiaceae","Birthwort family","Aristolochiales","Magnoliopsida","Magnoliophyta","Plantae"
"HIBIS","","Hibiscadelphus","Hibiscadelphus","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HIBIS2","","Hibiscus","Hibiscus","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HIERA","","Hieracium","Hieracium","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HIERO","","Hierochloe","Hierochloe","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"HILAR","","Hilaria","Hilaria","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"HILLE","","Hillebrandia","Hillebrandia","Begoniaceae","Begonia family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"HILLI","","Hillia","Hillia","Rubiaceae","Madder family","Rubiales","Magnoliopsida","Magnoliophyta","Plantae"
"HIPPE","","Hippeastrum","Hippeastrum","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HIPPO3","","Hippobroma","Hippobroma","Campanulaceae","Bellflower family","Campanulales","Magnoliopsida","Magnoliophyta","Plantae"
"HIPPO2","","Hippocratea","Hippocratea","Hippocrateaceae","Hippocratea family","Celastrales","Magnoliopsida","Magnoliophyta","Plantae"
"HIPPO5","","Hippocrepis","Hippocrepis","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"HIPPO","","Hippomane","Hippomane","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"HIPPO4","","Hippophae","Hippophae","Elaeagnaceae","Oleaster family","Rhamnales","Magnoliopsida","Magnoliophyta","Plantae"
"HIPPU","","Hippuris","Hippuris","Hippuridaceae","Mare's-tail family","Callitrichales","Magnoliopsida","Magnoliophyta","Plantae"
"HIPTA","","Hiptage","Hiptage","Malpighiaceae","Barbados Cherry family","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"HIRAE2","","Hiraea","Hiraea","Malpighiaceae","Barbados Cherry family","Polygalales","Magnoliopsida","Magnoliophyta","Plantae"
"HIRSC","","Hirschfeldia","Hirschfeldia","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"HIRTE","","Hirtella","Hirtella","Chrysobalanaceae","Cocoa-plum family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"HISTI","","Histiopteris","Histiopteris","Dennstaedtiaceae","Bracken Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"HITCH","","Hitchenia","Hitchenia","Zingiberaceae","Ginger family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"HOBSO","","Hobsonia","Hobsonia","Uncertain Basidiomycota Family","","Uncertain Basidiomycota Order","Uncertain Basidiomycota Class","Basidiomycota","Fungi"
"HODGS","","Hodgsonia","Hodgsonia","Cucurbitaceae","Cucumber family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"HOFFM","","Hoffmannseggia","Hoffmannseggia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"HOHEN","","Hohenbergia","Hohenbergia","Bromeliaceae","Bromeliad family","Bromeliales","Liliopsida","Magnoliophyta","Plantae"
"HOHER","","Hoheria","Hoheria","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HOITA","","Hoita","Hoita","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
