"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","hour","userNumber","original.inat.taxonID"
-118.7539596558,34.0400543213,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia californica",2012,1,18,49,53357
-118.7539825439,34.0411224365,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Laurales","Lauraceae","Umbellularia","Umbellularia californica",2012,1,18,49,48807
-118.7537612915,34.0423164368,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum","Tropaeolum majus",2012,1,18,49,54329
-118.753578186,34.0428543091,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Anacardiaceae","Toxicodendron","Toxicodendron diversilobum",2012,1,18,49,51080
-118.7532043457,34.0434417725,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Silybum","Silybum marianum",2012,1,18,49,52586
-118.7531814575,34.0430145264,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum confertiflorum",2012,1,18,49,53395
-118.7533416748,34.0443916321,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia spathacea",2012,1,18,49,64133
-118.7534103394,34.0446281433,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea","Centaurea melitensis",2012,1,18,49,57922
-118.7535400391,34.0448379517,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Acmispon glaber",2012,1,18,49,53134
-118.7535705566,34.0448722839,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Heteromeles","Heteromeles arbutifolia",2012,1,18,49,53405
-118.7537155151,34.0450592041,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Eriogonum","Eriogonum cinereum",2012,1,19,49,76974
-118.7536315918,34.0455703735,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Mimulus aurantiacus",2012,1,19,49,48858
